table,region,year,indicator,value,unit,notes
2-8,50-54岁,2024,女,59754,人,按年龄和性别分人口数
2-8,50-54岁,2024,占总人口比重,8.34,%,按年龄和性别分人口数
2-8,50-54岁,2024,男占比重,4.22,%,按年龄和性别分人口数
2-8,50-54岁,2024,女占比重,4.13,%,按年龄和性别分人口数
2-8,50-54岁,2024,性别比,102.12,（女=100）,按年龄和性别分人口数
2-8,55-59岁,2024,人口数,119381,人,按年龄和性别分人口数
2-8,55-59岁,2024,男,59674,人,按年龄和性别分人口数
2-8,55-59岁,2024,女,59707,人,按年龄和性别分人口数
2-8,55-59岁,2024,占总人口比重,8.25,%,按年龄和性别分人口数
2-8,55-59岁,2024,男占比重,4.12,%,按年龄和性别分人口数
2-8,55-59岁,2024,女占比重,4.13,%,按年龄和性别分人口数
2-8,55-59岁,2024,性别比,99.94,（女=100）,按年龄和性别分人口数
2-8,60-64岁,2024,人口数,92711,人,按年龄和性别分人口数
2-8,60-64岁,2024,男,45806,人,按年龄和性别分人口数
2-8,60-64岁,2024,女,46905,人,按年龄和性别分人口数
2-8,60-64岁,2024,占总人口比重,6.41,%,按年龄和性别分人口数
2-8,60-64岁,2024,男占比重,3.16,%,按年龄和性别分人口数
2-8,60-64岁,2024,女占比重,3.24,%,按年龄和性别分人口数
2-8,60-64岁,2024,性别比,97.66,（女=100）,按年龄和性别分人口数
2-8,65-69岁,2024,人口数,74494,人,按年龄和性别分人口数
2-8,65-69岁,2024,男,36794,人,按年龄和性别分人口数
2-8,65-69岁,2024,女,37700,人,按年龄和性别分人口数
2-8,65-69岁,2024,占总人口比重,5.15,%,按年龄和性别分人口数
2-8,65-69岁,2024,男占比重,2.54,%,按年龄和性别分人口数
2-8,65-69岁,2024,女占比重,2.6,%,按年龄和性别分人口数
2-8,65-69岁,2024,性别比,97.6,（女=100）,按年龄和性别分人口数
2-8,70-74岁,2024,人口数,66801,人,按年龄和性别分人口数
2-8,70-74岁,2024,男,31937,人,按年龄和性别分人口数
2-8,70-74岁,2024,女,34864,人,按年龄和性别分人口数
2-8,70-74岁,2024,占总人口比重,4.62,%,按年龄和性别分人口数
2-8,70-74岁,2024,男占比重,2.21,%,按年龄和性别分人口数
2-8,70-74岁,2024,女占比重,2.41,%,按年龄和性别分人口数
2-8,70-74岁,2024,性别比,91.6,（女=100）,按年龄和性别分人口数
2-8,75-79岁,2024,人口数,41697,人,按年龄和性别分人口数
2-8,75-79岁,2024,男,19668,人,按年龄和性别分人口数
2-8,75-79岁,2024,女,22029,人,按年龄和性别分人口数
2-8,75-79岁,2024,占总人口比重,2.88,%,按年龄和性别分人口数
